Team,Striker,Runs,SR,100,50,HS,4s,6s,Ct,Avg,Ecn,Wkts,Overs,Mat_played
Adelaide Strikers,J Dean,49,144.11,0,0,23,4,3,,12.25,0,0,0,5
Adelaide Strikers,C Simmons,0,0,0,0,0,0,0,0,0,0,0,0,0
Adelaide Strikers,K Smith,0,0,0,0,0,0,0,0,0,7,0,1,1
Adelaide Strikers,J Weatherald,117,130.3,0,1,52,9,6,5,16.17,0,0,0,7
Adelaide Strikers,B Hodge,286,131.19,0,2,56,22,10,4,40.85,8,0,1,8
Adelaide Strikers,T Head,76,95,0,0,24,6,2,2,15.2,5.85,3,7,5
Adelaide Strikers,J Lehmann,6,33.33,0,0,4,0,0,1,1.5,8,1,2,4
Adelaide Strikers,M Neser,30,120,0,0,17,2,1,5,7.5,8.72,5,16.1,6
Adelaide Strikers,K Pollard,145,146.46,0,0,47,7,8,2,18.12,8.86,7,15,8
Adelaide Strikers,A Carey,0,0,0,0,0,0,0,0,0,,,,1
Adelaide Strikers,B Dunk,364,163.96,0,3,85,35,16,1,52,10,1,2,8
Adelaide Strikers,T Ludeman,68,115.25,0,0,29,6,0,0,22.66,0,0,0,3
Adelaide Strikers,W Agar,10,200,0,0,8,2,0,1,10,13.8,0,5,2
Adelaide Strikers,J Holland,,,,,,,,,,,,,
Adelaide Strikers,C Jordan,36,922.3,0,0,18,0,2,6,9,9.29,9,17,5
Adelaide Strikers,B Laughlin,0,0,0,0,0,0,0,3,0,6.09,9,22,7
Adelaide Strikers,A Rashid,,,,,,,,,,,,,
Adelaide Strikers,K Richardson,45,160.71,0,0,45,2,4,0,45,10.71,2,7,2
Adelaide Strikers,B Stanlake,4,66.66,0,0,3,0,0,2,0,6.97,6,15.2,4
Brisbane Heat,J Burns,,,,,,,,,,,,,
Brisbane Heat,A Doolan,,,,,,,,,,,,,
Brisbane Heat,S Heazlett,,,,,,,,,,,,,
Brisbane Heat,C Lynn,309,177.58,0,3,98,17,26,2,154.5,0,0,0,5
Brisbane Heat,N Reardon,13,108.33,0,0,12,2,0,1,6.5,0,0,0,3
Brisbane Heat,A Ross,204,106.25,0,1,64,13,6,2,29.14,0,0,0,9
Brisbane Heat,J Floros,3,42.85,0,0,3,0,0,1,3,12,0,5,3
Brisbane Heat,M Labuschagne,21,110.52,0,0,20,1,0,4,10.5,13.5,1,4,3
Brisbane Heat,B Cutting,78,144.44,0,0,35,7,2,3,13,9.92,9,32.5,9
Brisbane Heat,J Wildermuth,72,141.14,0,0,29,3,6,2,14.4,9.29,9,28.5,9
Brisbane Heat,B McCullum,323,170.89,0,3,72,31,19,3,46.14,0,0,0,8
Brisbane Heat,J Peirson,139,143.29,0,0,46,16,4,0,15.44,0,0,0,9
Brisbane Heat,S Badree,6,300,0,0,6,1,0,1,0,6.5,5,20,5
Brisbane Heat,A Fekete,,,,,,,,,,,,,
Brisbane Heat,L Feldman,,,,,,,,,,,,,
Brisbane Heat,J Lalor,,,,,,,,,,,,,
Brisbane Heat,M Steketee,15,100,0,0,12,0,1,6,7.5,7.57,15,35,9
Brisbane Heat,M Swepson,2,66.66,0,0,2,0,0,1,1,7.5,12,34,9
Brisbane Heat,T Mills,0,0,0,0,0,0,0,0,0,6.25,1,8,2
Hobart Hurricanes,G Bailey,247,132.79,0,3,74,15,8,1,49.4,0,0,0,8
Hobart Hurricanes,J Bazley,,,,,,,,,,,,,
Hobart Hurricanes,D Michael,0,0,0,0,0,0,0,0,0,0,0,0,2
Hobart Hurricanes,K Sangakkara,68,121.42,0,0,22,6,1,1,17,0,0,0,5
Hobart Hurricanes,D Short,198,163.63,0,2,61,23,9,4,24.75,11.86,2,7.2,8
Hobart Hurricanes,B Webster,76,133.33,0,1,67,7,1,3,25.33,8,0,6,5
Hobart Hurricanes,J Wells,137,130.47,0,1,55,8,4,3,34.25,0,0,0,6
Hobart Hurricanes,C Rose,55,161.76,0,0,29,5,2,3,55,7.94,4,18,7
Hobart Hurricanes,D Christian,87,126.08,0,0,33,4,4,1,14.5,7.44,9,18,8
Hobart Hurricanes,H Kingston,29,161.11,0,0,17,1,2,1,14.5,11.1,3,10,4
Hobart Hurricanes,S Milenko,0,0,0,0,0,0,0,0,0,12.5,2,4,1
Hobart Hurricanes,S Rainbird,1,100,0,0,1,0,0,0,0,12.33,0,3,1
Hobart Hurricanes,B McDermott,155,186.74,1,0,114,12,11,0,51.66,0,0,0,3
Hobart Hurricanes,T Paine,227,123.36,0,2,91,25,5,0,28.37,0,0,0,8
Hobart Hurricanes,C Boyce,27,100,0,0,12,2,1,1,6.75,9.13,6,26.1,8
Hobart Hurricanes,S Broad,14,200,0,0,11,2,0,2,14,8.23,8,29.3,8
Hobart Hurricanes,J Reed,0,0,0,0,0,0,0,0,0,13.4,2,5,2
Hobart Hurricanes,S Tait,0,0,0,0,0,0,0,0,0,12.48,4,12.2,4
Melbourne Renegades,A Finch,354,160.9,0,4,71,29,15,4,44.25,8.5,1,2,8
Melbourne Renegades,T Beaton,,,,,,,,,,,,,
Melbourne Renegades,T Cooper,167,159.04,0,1,53,16,5,4,23.85,7.8,5,15,8
Melbourne Renegades,C Ferguson,183,150,0,0,39,10,7,3,30.5,0,0,0,8
Melbourne Renegades,M Harris,220,132.53,0,1,85,22,6,5,31.42,0,0,0,7
Melbourne Renegades,C White,227,132.74,0,1,64,12,8,0,32.42,0,0,0,8
Melbourne Renegades,D Bravo,47,138.23,0,0,24,1,3,0,23.5,8.2,2,5,2
Melbourne Renegades,M Short,5,125,0,0,5,0,0,0,0,6,0,1,1
Melbourne Renegades,T Perera,40,148.14,0,0,28,4,1,4,13.33,9.13,8,15,4
Melbourne Renegades,P Nevill,15,78.94,0,0,6,1,0,0,5,0,0,0,7
Melbourne Renegades,M Wade,,,,,,,,,,,,,
Melbourne Renegades,A Harriott,0,0,0,0,0,0,0,2,0,0,0,0,1
Melbourne Renegades,X Doherty,0,0,0,0,0,0,0,0,0,10,0,3,1
Melbourne Renegades,B Hogg,9,75,0,0,9,1,0,1,0,7.21,8,32,8
Melbourne Renegades,S Narine,52,136.84,0,0,21,4,3,3,10.4,7.81,13,32,8
Melbourne Renegades,J Pattinson,14,116.66,0,0,13,0,1,1,7,12.51,4,15.3,5
Melbourne Renegades,N Rimmington,1,100,0,0,1,0,0,0,0,10.6,4,10,4
Melbourne Renegades,P Siddle,,,,,,,,,,,,,
Melbourne Renegades,C Tremain,27,135,0,0,27,3,0,5,27,8.22,2,18,5
Melbourne Renegades,N Winter,,,,,,,,,,,,,
Melbourne Stars,P Handscomb,5,100,0,0,3,0,0,2,2.5,0,0,0,2
Melbourne Stars,K Pieterson,268,128.22,0,2,73,24,6,2,38.28,0,0,0,8
Melbourne Stars,R Quiney,227,169.4,0,2,75,27,9,4,32.42,0,0,0,7
Melbourne Stars,D Hussey,137,137,0,0,29,13,5,4,17.12,0,0,0,9
Melbourne Stars,E Gulbis,33,106.45,0,0,22,2,1,2,8.25,7.3,3,10,5
Melbourne Stars,G Maxwell,117,164.78,0,1,58,16,1,4,39,9.25,1,4,4
Melbourne Stars,M Stoinis,76,120.63,0,0,40,5,3,3,25.33,8.27,3,18,7
Melbourne Stars,J Faulkner,46,104.54,0,0,25,0,2,4,15.33,7.41,1,12,4
Melbourne Stars,J Hastings,,,,,,,,,,,,,
Melbourne Stars,L Wright,261,121.96,0,2,62,28,4,1,32.62,0,0,0,9
Melbourne Stars,S Gotch,79,105.33,0,0,48,5,3,0,26.33,0,0,0,3
Melbourne Stars,S Harper,10,100,0,0,5,1,0,2,2.5,0,0,0,5
Melbourne Stars,T Triffitt,,,,,,,,,,,,,
Melbourne Stars,M Beer,8,200,0,0,7,1,0,1,0,7.24,6,32.5,9
Melbourne Stars,S Boland,11,91.66,0,0,8,1,0,2,5.5,8.37,14,34.1,9
Melbourne Stars,J Coleman,,,,,,,,,,,,,
Melbourne Stars,B Hilfenhaus,49,113.95,0,0,32,4,2,2,9.8,8.03,12,31,9
Melbourne Stars,D  Worrall,13,162.5,0,0,13,0,1,0,0,10,1,4,1
Melbourne Stars,A Zampa,9,69.23,0,0,7,1,0,0,4.5,6.47,5,19,5
Perth Scorchers,I Bell,231,126.92,0,1,61,19,6,1,33,0,0,0,10
Perth Scorchers,M Klinger,334,126.99,0,3,81,29,11,6,37.11,0,0,0,10
Perth Scorchers,S Marsh,180,113.92,0,2,57,24,2,3,25.71,0,0,0,8
Perth Scorchers,A Voges,40,125,0,0,20,2,3,2,10,6.66,1,3,7
Perth Scorchers,H Cartwright,20,68.96,0,0,13,2,0,0,20,0,0,0,4
Perth Scorchers,M Marsh,210,152.17,0,1,70,13,8,3,70,9.16,3,12,5
Perth Scorchers,A Turner,123,146.42,0,0,44,6,8,9,20.5,7.5,5,14,10
Perth Scorchers,A Agar,79,158,0,0,29,6,3,8,39.5,7.67,3,28,9
Perth Scorchers,J Richardson,6,75,0,0,6,1,0,5,6,8.53,11,26,8
Perth Scorchers,C Valente,,,,,,,,,,,,,
Perth Scorchers,D Willey,11,64.7,0,0,5,0,0,2,5.5,6.4,7,15,5
Perth Scorchers,C Bancroft,0,0,0,0,0,0,1,0,0,0,0,0,2
Perth Scorchers,S Whiteman,154,138.73,0,0,41,17,5,4,22,0,0,0,9
Perth Scorchers,N Coulter-Nile,,,,,,,,,,,,,
Perth Scorchers,M Johnson,0,0,0,0,0,0,0,1,0,5.91,13,34,9
Perth Scorchers,J Muirhead,,,,,,,,,,,,,
Perth Scorchers,J Paris,,,,,,,,,,,,,
Perth Scorchers,A Tye,42,127.27,0,0,42,4,1,3,42,7.14,10,38.2,10
Perth Scorchers,J Behrendorff,,,,,,,,,,,,,
Sydney Thunders,A Blizzard,5,45.45,0,0,5,0,0,0,5,0,0,0,1
Sydney Thunders,R Gibson,101,103.06,0,1,53,9,0,2,20.2,0,0,0,7
Sydney Thunders,U Khawaja,,,,,,,,,,,,,
Sydney Thunders,E Morgan,159,125.19,0,2,71,11,7,1,39.75,0,0,0,5
Sydney Thunders,K Patterson,173,121.83,0,0,38,20,2,4,24.71,0,0,0,8
Sydney Thunders,B Rohrer,145,113.28,0,0,30,11,2,4,24.16,0,0,0,8
Sydney Thunders,S Watson,104,136.84,0,1,55,9,6,2,17.33,7.16,7,18,6
Sydney Thunders,C Green,40,153.84,0,0,22,2,3,2,13.33,6.79,7,29,8
Sydney Thunders,A Russell,25,75.75,0,0,9,4,0,1,6.25,8.52,3,16.4,5
Sydney Thunders,J Doran,3,60,0,0,3,0,0,0,1.5,0,0,0,3
Sydney Thunders,J Lenton,23,14.54,0,0,16,3,1,1,11.5,0,0,0,5
Sydney Thunders,P Cummins,134,139.58,0,0,39,8,8,3,33.5,9.21,7,23,6
Sydney Thunders,F Ahmed,0,0,0,0,0,0,0,1,0,6.79,9,29,8
Sydney Thunders,A McDermott,,,,,,,,,,,,,
Sydney Thunders,C McKay,30,111.11,0,0,14,1,2,1,15,9,4,22,7
Sydney Thunders,G Sandhu,1,100,0,0,1,0,0,0,1,11,0,5,2
Sydney Thunders,L Hatcher,,,,,,,,,,,,,
Sydney Sixers,D Hughes,304,118.28,0,2,85,29,8,4,43.42,0,0,0,8
Sydney Sixers,M Lumb,55,114.58,0,0,31,7,0,1,11,0,0,0,5
Sydney Sixers,N Maddinson,75,110.29,0,0,26,4,3,4,10.71,9,0,1,7
Sydney Sixers,J Roy,92,161.4,0,0,40,12,4,4,23,0,0,0,4
Sydney Sixers,J Silk,44,95.65,0,0,28,2,0,0,14.66,0,0,0,4
Sydney Sixers,M Henriques,263,142.16,0,2,76,21,9,1,29.22,6.66,1,3,10
Sydney Sixers,C Munro,27,117.39,0,0,23,4,0,0,9,0,0,0,3
Sydney Sixers,J Botha,138,130.18,0,0,32,12,2,5,19.71,7.62,6,33.5,10
Sydney Sixers,S O'Keefe,13,185.71,0,0,13,1,1,1,13,5.83,3,12,3
Sydney Sixers,S Billings,127,129.59,0,0,42,12,2,3,31.75,0,0,0,5
Sydney Sixers,B Haddin,140,138.61,0,0,38,14,4,8,17.5,0,0,0,10
Sydney Sixers,S Abbott,53,115.21,0,0,33,3,3,7,10.6,8.72,20,37,10
Sydney Sixers,J Bird,4,44.44,0,0,2,0,0,4,0,10.06,1,16,5
Sydney Sixers,D Bollinger,1,100,0,0,1,0,0,2,1,10,4,13,4
Sydney Sixers,B Dwarshuis,47,87.03,0,0,19,2,0,2,15.66,8.55,13,36,10
Sydney Sixers,W Somerville,3,60,0,0,3,0,0,1,3,6.7,3,10,3
Sydney Sixers,N Lyon,18,94.73,0,0,9,1,0,3,18,6.64,7,17,5
Sydney Sixers,J Mennie,3,75,0,0,3,0,0,1,0,12,2,3,2
Sydney Sixers,H Thornton,0,0,0,0,0,0,0,0,0,10,1,4,1
